Infinitive,Present,Past,Participle,Russian,English
backen,bäckt / backt,buk/backte,hat gebacken,печь,to bake
befehlen,befiehlt,befahl,hat befohlen,приказывать,"to order, instruct"
beginnen,beginnt,begann,hat begonnen,начинать,to begin
beißen,beißt,biß,hat gebissen,кусать,to bite
bergen,birgt,barg,hat geborgen,спасать,"to save, rescue, recover"
bersten,birst,barst,ist geborsten,лопнуть,to burst
biegen,biegt,bog,hat gebogen,гнуть,to bend
bieten,bietet,bot,hat geboten,предлагать,to offer
binden,bindet,band,hat gebunden,связывать,"to bind, tie"
bitten,bittet,bat,hat gebeten,просить,"to ask, request"
blasen,bläst,blies,hat geblasen,дуть,to blow
bleiben,bleibt,blieb,ist geblieben,оставаться,"to stay, remain"
braten,brät,briet,hat gebraten,жарить,"to fry, roast"
brechen,bricht,brach,hat/ist gebrochen,ломать,to break
brennen,brennt,brannte,hat gebrannt,гореть,to fire
bringen,bringt,brachte,hat gebracht,приносить,to bring
denken,denkt,dachte,hat gedacht,думать,to think
dreschen,drischt,drosch,hat gedroschen,молотить,to thresh
dringen,dringt,drang,hat/ist gedrungen,проникать,to push through
dürfen,darf,durfte,hat gedurft,мочь (иметь разрешение),"be allowed to"
empfangen,empfängt,empfing,hat empfangen,принимать,to recieve
empfehlen,empfiehlt,empfahl,hat empfohlen,рекомендовать,"to recommend"
erlöschen,erlischt,erlosch,ist erloschen,"потухать, прекращаться"," to expire"
erschrecken,erschrickt,erschrak,ist erschrocken,пугаться,"to frighten, be frightened"
essen,isst,aß,hat gegessen,"есть, кушать",to eat
fahren,fährt,fuhr,hat/ist gefahren,"ехать, ездить","to drive, to travel"
fallen,fällt,fiel,ist gefallen,падать,to fall
fangen,fängt,fing,hat gefangen,ловить,to catch
fechten,ficht,focht,hat gefochten,фехтовать,to fence (with swords)
finden,findet,fand,hat gefunden,находить,to find
flechten,flicht,flocht,hat geflochten,плести,"to braid, weave"
fliegen,fliegt,flog,hat/ist geflogen,летать,to fly
fliehen,flieht,floh,ist geflohen,"убегать, удирать",to flee
fließen,fließt,floss,ist geflossen,"течь, литься",to flow
fressen,frisst,fraß,hat gefressen,"жрать, лопать",to eat (used with animals)
frieren,friert,fror,hat gefroren,замерзать,to freeze
gären,gärt,gor,ist gegoren,бродить,to ferment
gebären,gebärt/gebiert,gebar,hat/ist geboren,родить,to give birth (to)
geben,gibt,gab,hat gegeben,давать,to give
gedeihen,gedeiht,gedieh,ist gediehen,"расти, преуспевать",to flourish
gehen,geht,ging,ist gegangen,"идти, ходить",to go
gelingen,gelingt,gelang,ist gelungen,удаваться,to succeed
gelten,gilt,galt,hat gegolten,"стоить, цениться","to be valid, to count"
genesen,genest,genas,ist genesen,выздоравливать,"to recover, convalesce"
genießen,genießt,genoss,hat genossen,наслаждаться,to enjoy
geschehen,geschieht,geschah,ist geschehen,происходить,to happen
gewinnen,gewinnt,gewann,hat gewonnen,выигрывать,to win
gießen,gießt,goss,hat gegossen,"лить, наливать",to pour
